id	name	ec	residual	definition	candidates
rxn06878	Acyl-CoA:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and	2.3.1.86	C:-1,H:-2,O:-1,charge:+2	(1) NADH[0] + (1) NADPH[0] + (1) Acetyl-CoA[1] + (1) H+[0] + (1) Malonyl-CoA[0] <=> (1) NAD[0] + (1) NADP[0] +	methyl (SAM/SAH)
rxn07011	rxn07011	null	C:+6,H:+10,O:+5	(1) H2O[0] => (1) Galactose[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07031	rxn07031	2.4.1.199	C:-6,H:-11,O:-5,charge:-1	(1) beta-D-Mannosylphosphodecaprenol[0] <= (1) Decaprenol phosphate[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07327	R07496	null	C:-1,H:-2	(1) 4-methylzymosterol[0] => (1) Zymosterol[0]	methyl (SAM/SAH)
rxn07339	R07508	null	C:+1,H:+2	(1) beta-Tocopherol[0] <= (1) Vitamin E[0]	methyl (SAM/SAH)
rxn07375	R07544	null	C:+6,H:+10,O:+5	(1) Hydroxychlorobactene[0] => (1) Hydroxychlorobactene glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07377	R07546	null	C:+6,H:+10,O:+5	(1) 1'-Hydroxy-gamma-carotene[0] => (1) 1'-Hydroxy-gamma-carotene glucoside[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07470	4,4'-diaponeurosporenoate glucosyltransferase	2.4.1.-	C:+6,H:+11,O:+5,charge:+1	(1) 4,4'-Diaponeurosporenic acid[0] => (1) Glycosyl-4,4'-diaponeurosporenoate[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07508	R07694	null	C:+1,H:+2	(1) 1,2-Anthracenediol[0] <= (1) 1-Methoxy-2-hydroxyanthracene[0]	methyl (SAM/SAH)
rxn07531	R07717	null	C:+1,H:+2	(1) 6-Hydroxydaidzein[0] <= (1) Glycitein[0]	methyl (SAM/SAH)
rxn07536	rxn07536	null	C:+1,H:+2	(1) 2,7,4'-Trihydroxyisoflavanone[0] <= (1) 2,7-Dihydroxy-4'-methoxyisoflavanone[0]	methyl (SAM/SAH)
rxn07547	R07733	null	C:-6,H:-11,O:-5,charge:-1	(1) Ononin[0] <= (1) Formononetin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07557	R07743	null	C:-6,H:-10,O:-5	(1) (-)-Medicocarpin[0] <= (1) (-)-Medicarpin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn07564	R07750	null	C:+1,H:+2	(1) (+)-6a-Hydroxymaackiain[0] <= (1) Pisatin[0]	methyl (SAM/SAH)
rxn07570	R07756	null	C:-6,H:-10,O:-5	(1) Trifolirhizin[0] <= (1) (-)-Maackiain[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
