id	status	bucket	n_species	n_generic	elem_imbalance	charge_imbalance	is_transport
rxn00052	OK	OK	6	0		0.0	0
rxn00053	OK	OK	3	0		0.0	0
rxn00054	OK	OK	4	0		0.0	0
rxn00055	CI:-1	OK	4	0		0.0	0
rxn00056	OK	OK	5	0		0.0	0
rxn00057	OK	OK	4	0		0.0	0
rxn00058	OK	A_no_formula	5	2		0.0	0
rxn00059	CI:-4	E_charge_only	5	0		-4.0	0
rxn00060	OK	OK	4	0		0.0	0
rxn00061	OK	OK	5	0		0.0	0
rxn00062	OK	OK	5	0		0.0	0
rxn00063	OK	OK	5	0		0.0	0
rxn00064	OK	OK	5	0		0.0	0
rxn00065	OK	OK	4	0		0.0	0
rxn00066	OK	OK	5	0		0.0	0
rxn00067	OK	OK	5	0		0.0	0
rxn00068	OK	OK	5	0		0.0	0
rxn00069	OK	OK	6	0		0.0	0
rxn00070	CI:-2	OK	5	0		0.0	0
rxn00071	CI:2	OK	5	0		0.0	0
rxn00072	OK	OK	6	0		0.0	0
rxn00073	MI:H:6/R:2|CI:4	A_no_formula	5	1	"{""C"": -124.0, ""Co"": -2.0, ""H"": -174.0, ""N"": -26.0, ""O"": -28.0, ""P"": -2.0}"	4.0	0
rxn00074	OK	OK	5	0		0.0	0
rxn00075	OK	OK	5	0		0.0	0
rxn00076	OK	OK	5	0		0.0	0
rxn00077	OK	OK	5	0		0.0	0
rxn00078	OK	OK	5	0		0.0	0
rxn00079	OK	OK	5	0		0.0	0
rxn00080	OK	OK	6	0		0.0	0
rxn00081	MI:H:-6/R:-2|CI:-4	A_no_formula	5	1	"{""C"": 124.0, ""Co"": 2.0, ""H"": 174.0, ""N"": 26.0, ""O"": 28.0, ""P"": 2.0}"	-4.0	0
rxn00082	CI:4	E_charge_only	7	0		4.0	0
rxn00083	OK	OK	4	0		0.0	0
rxn00084	OK	OK	5	0		0.0	0
rxn00085	OK	OK	6	0		0.0	0
rxn00086	CI:-2	OK	5	0		0.0	0
rxn00087	CI:-2	OK	5	0		0.0	0
rxn00088	OK	OK	4	0		0.0	0
rxn00089	OK	OK	5	0		0.0	0
rxn00090	CI:-2	OK	5	0		0.0	0
rxn00091	CI:-2	E_charge_only	5	0		-2.0	0
rxn00092	OK	OK	5	0		0.0	0
rxn00093	OK	OK	5	0		0.0	0
rxn00095	OK	OK	3	0		0.0	0
rxn00096	OK	OK	5	0		0.0	0
rxn00097	OK	OK	4	0		0.0	0
rxn00098	OK	OK	5	0		0.0	0
rxn00099	OK	OK	6	0		0.0	0
rxn00100	OK	OK	5	0		0.0	0
rxn00101	OK	OK	5	0		0.0	0
rxn00102	OK	OK	4	0		0.0	0
rxn00103	OK	OK	4	0		0.0	0
rxn00104	OK	OK	4	0		0.0	0
rxn00105	OK	OK	4	0		0.0	0
rxn00106	OK	OK	5	0		0.0	0
rxn00107	OK	OK	4	0		0.0	0
rxn00108	OK	OK	5	0		0.0	0
rxn00109	OK	OK	6	0		0.0	0
rxn00110	MI:C:1/H:2|CI:1	A_no_formula	6	2	"{""H"": 3.0, ""N"": 1.0, ""O"": -2.0}"	2.0	0
rxn00111	MI:C:1/H:2|CI:1	A_no_formula	6	2	"{""H"": 3.0, ""N"": 1.0, ""O"": -2.0}"	2.0	0
rxn00112	CI:-2	E_charge_only	5	0		-2.0	0
rxn00113	OK	OK	8	0		0.0	0
rxn00114	OK	OK	6	0		0.0	0
rxn00115	MI:H:-3/O:-2|CI:-1	D_H_and_O	3	0	"{""H"": -3.0, ""O"": -2.0}"	-1.0	0
rxn00116	OK	OK	5	0		0.0	0
rxn00117	OK	OK	4	0		0.0	0
rxn00118	OK	OK	5	0		0.0	0
rxn00119	OK	OK	5	0		0.0	0
rxn00120	OK	OK	5	0		0.0	0
rxn00121	OK	OK	5	0		0.0	0
rxn00122	OK	OK	4	0		0.0	0
rxn00123	OK	OK	4	0		0.0	0
rxn00124	OK	OK	5	0		0.0	0
rxn00125	OK	OK	5	0		0.0	0
rxn00126	OK	OK	7	0		0.0	0
rxn00127	OK	OK	4	0		0.0	0
rxn00128	OK	OK	4	0		0.0	0
rxn00129	OK	OK	3	0		0.0	0
rxn00130	OK	OK	5	0		0.0	0
rxn00131	OK	OK	4	0		0.0	0
rxn00132	OK	OK	4	0		0.0	0
rxn00133	OK	OK	5	0		0.0	0
rxn00134	OK	OK	5	0		0.0	0
rxn00135	OK	OK	5	0		0.0	0
rxn00136	OK	OK	5	0		0.0	0
rxn00137	OK	OK	4	0		0.0	0
rxn00138	OK	OK	7	0		0.0	0
rxn00139	OK	OK	5	0		0.0	0
rxn00140	OK	OK	4	0		0.0	0
rxn00141	OK	OK	4	0		0.0	0
rxn00142	OK	OK	5	0		0.0	0
rxn00143	OK	OK	4	0		0.0	0
rxn00144	OK	OK	5	0		0.0	0
rxn00145	OK	A_no_formula	5	2		0.0	0
rxn00146	OK	A_no_formula	5	2		0.0	0
rxn00147	OK	OK	7	0		0.0	0
rxn00148	OK	OK	5	0		0.0	0
rxn00149	OK	OK	6	0		0.0	0
rxn00150	OK	OK	6	0		0.0	0
rxn00151	OK	OK	7	0		0.0	0
rxn00152	OK	OK	7	0		0.0	0
rxn00153	OK	OK	4	0		0.0	0
rxn00154	OK	OK	6	0		0.0	0
rxn00155	OK	OK	6	0		0.0	0
rxn00156	OK	OK	7	0		0.0	0
rxn00157	OK	OK	4	0		0.0	0
rxn00158	OK	OK	6	0		0.0	0
rxn00159	OK	OK	5	0		0.0	0
