id	class	signature	redox	ec_class	n_species	definition
rxn41230	skeleton:C	C:-6,H:-12,O:-6		5	1	(1) beta D-Galactose[0] <= 
rxn41241	skeleton:C	C:-6,H:-7,O:-6,charge:-1	O2	1	6	(1) O2[0] + (1) L-Ascorbate[0] + (1) H+[0] + (1) Dextroamphetamine[0] <= (1) H2O[0] + (1) (-)-Norephedrine[0]
rxn41379	skeleton:C,N,S	C:-20,H:-30,N:-6,O:-12,S:-2,charge:+2		1	3	(2) GSH[0] + (1) Cystine[0] <= (2) L-Cysteine[0]
rxn41381	skeleton:C,P	C:-79,H:-129,O:-24,P:-2,charge:+3		2	4	(1) CDP-abequose[0] + (1) D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid[0] => (1) H+[0] + (1) CDP[0]
rxn41422	skeleton:C,N,P,S	C:+75,H:+105,N:+21,O:+57,P:+9,S:+3,charge:-15	NADP+NADPH		9	(19) NADPH[0] + (1) Acetyl-CoA[0] + (37) H+[0] + (15) Malonyl-CoA[0] => (8) H2O[0] + (19) NADP[0] + (19) CoA[0] + (18) C
rxn41433	skeleton:C,N	C:-14,H:-12,N:-2,O:-5,charge:+2			1	(1) IAA-Asp[0] <= 
rxn41481	skeleton:C,P	C:-3,H:-3,O:-6,P:-1,charge:+2		2	6	(1) H2O[0] + (1) ATP[0] + (1) Pyruvate[0] <= (1) Phosphate[0] + (1) AMP[0] + (2) H+[0]
rxn41502	skeleton:C,N,S	C:-20,H:-29,N:-6,O:-12,S:-2,charge:+3			4	(1) GSH[0] + (1) 2,3,5-trichloro-6-(glutathion-S-yl)-hydroquinone[0] <= (1) H+[0] + (1) 2,3,6-Trichlorohydroquinone[0]
rxn41572	skeleton:C,P	C:-6,H:-7,O:-9,P:-1,charge:+2			4	(1) ATP[0] + (1) L-Ascorbate[0] <= (1) ADP[0] + (1) H+[0]
rxn41640	skeleton:C	C:-15,H:-16,O:-8,charge:+2		2	4	(1) UDP-glucose[0] + (1) cis-p-Coumarate[0] <= (1) UDP[0] + (1) H+[0]
rxn41672	skeleton:C,S	C:-3,H:-7,O:-3,S:-2,charge:+1			4	(1) MTTL[0] + (1) CoM[0] <= (1) H+[0] + (1) H2S[0]
rxn41701	skeleton:C	C:-28,H:-48,O:-2			4	(1) S-Adenosyl-L-methionine[0] + (1) 2-Methyl-6-phytylquinol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0]
rxn41716	skeleton:C,N,P,S	C:+125,H:+175,N:+35,O:+95,P:+15,S:+5,charge:-25	NADP+NADPH		9	(7) NADPH[0] + (15) H+[0] + (2) Malonyl-CoA[0] + (1) Ethylmalonyl-CoA[0] => (3) H2O[0] + (7) NADP[0] + (8) CoA[0] + (8) 
rxn41730	skeleton:C,N,S	C:-20,H:-28,N:-6,O:-12,S:-2,charge:+4	NADP+NADPH	1	4	(1) NADP[0] + (2) GSH[0] <= (1) NADPH[0] + (1) H+[0]
rxn41800	skeleton:C	C:-6,H:-9,O:-5,charge:+1		4	2	(1) L-Fuconate[0] <= (1) H2O[0]
rxn41810	charge_only	charge:-2			4	(1) H2O[0] + (1) H+[0] + (1) indole-3-carbinonium ion[0] <= (1) indole-3-carbinol[0]
