compound_id,frequency,name
cpd08919,22,Pelargonidin 3-glucoside
cpd00665,22,alpha-Maltose
cpd00058,22,Cu2+
cpd00195,22,1-Alcohol
cpd14530,22,Castasterone
cpd14589,22,"7,9,7',9'-Tetra-cis-lycopene"
cpd01329,22,Maltohexaose
cpd15274,22,Octadecenoyl-CoA
cpd16341,22,Icosenoic acid
cpd17027,22,methylmenaquinone 7
cpd19040,22,Kaempferol
cpd28207,22,Sulfurated-Sulfur-Acceptors
cpd28041,22,RNA-Holder
cpd26871,22,DIPEPTIDES
cpd26557,22,glucosyl 3-quercetin
cpd27449,22,METHYLENE-THF-GLU-N
cpd40031,22,"a 1,2-diacyl-sn-glycero-3-phosphate"
cpd39845,22,a 2-oxocarboxylate
cpd42145,22,holo-[peptidyl-carrier protein]
cpd43487,22,a menaquinol
cpd02508,21,5-Dehydro-4-deoxy-D-glucuronate
cpd00260,21,Isocitrate
cpd00173,21,NTP
cpd00323,21,L-Pipecolate
cpd00348,21,D-Galactose 1-phosphate
cpd00663,21,Acrylyl-CoA
cpd00157,21,Glycerone
cpd01297,21,Glyceride
cpd00483,21,3-Hydroxyanthranilate
cpd01135,21,Taxifolin
cpd00361,21,ACTN
cpd00461,21,Oxopent-4-enoate
cpd00885,21,Phytate
cpd02526,21,N6-Dimethylallyladenine
cpd00244,21,Ni2+
cpd02989,21,Lc4Cer
cpd00149,21,Co2+
cpd05486,21,Antheraxanthin
cpd11427,21,CDP-diacylglycerol
cpd11474,21,Decanoyl-ACP
