cpd_id	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd00113	CHEBI:128769	chebi_xref	PROTONATION_DIFF	NUHSROFQTUXZQQ-UHFFFAOYSA-L	NUHSROFQTUXZQQ-UHFFFAOYSA-K	15983957	C=C(C)CCOP(=O)([O-])OP(=O)([O-])O	
cpd00115	CHEBI:61404	chebi_xref	PROTONATION_DIFF	SUYVUBYJARFZHO-RRKCRQDMSA-K	SUYVUBYJARFZHO-RRKCRQDMSA-J	25320183	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1	
cpd00175	C00203	kegg_xref	PROTONATION_DIFF	LFTYTUAZOPRMMI-FTFHWYEPSA-L	LFTYTUAZOPRMMI-FTFHWYEPSA-N	23724461	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O	
cpd00177	CHEBI:57667	chebi_xref	PROTONATION_DIFF	DAEAPNUQQAICNR-RRKCRQDMSA-L	DAEAPNUQQAICNR-RRKCRQDMSA-K	21125569	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)([O-])[O-])O1	
cpd00202	CHEBI:57623	chebi_xref	PROTONATION_DIFF	CBIDRCWHNCKSTO-UHFFFAOYSA-L	CBIDRCWHNCKSTO-UHFFFAOYSA-K	15983958	CC(C)=CCOP(=O)([O-])OP(=O)([O-])O	
cpd00220	CHEBI:57986	chebi_xref	PROTONATION_DIFF	AUNGANRZJHBGPY-SCRDCRAPSA-N	AUNGANRZJHBGPY-SCRDCRAPSA-M	45480541	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	
cpd00240	CHEBI:64755	chebi_xref	PROTONATION_DIFF	KCXVZYZYPLLWCC-UHFFFAOYSA-J	KCXVZYZYPLLWCC-UHFFFAOYSA-L	5246202	O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]	
cpd00241	CHEBI:61429	chebi_xref	PROTONATION_DIFF	HAAZLUGHYHWQIW-KVQBGUIXSA-K	HAAZLUGHYHWQIW-KVQBGUIXSA-J	135398598	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1	
cpd00255	C00306	kegg_xref	PROTONATION_DIFF	QXZGBUJJYSLZLT-FDISYFBBSA-P	QXZGBUJJYSLZLT-FDISYFBBSA-N	439201	NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C(=O)[O-]	
cpd00260	C00311	kegg_xref	PROTONATION_DIFF	ODBLHEXUDAPZAU-UHFFFAOYSA-K	ODBLHEXUDAPZAU-UHFFFAOYSA-N	1198	O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-]	
cpd00272	C00325	kegg_xref	PROTONATION_DIFF	LQEBEXMHBLQMDB-JGQUBWHWSA-L	LQEBEXMHBLQMDB-JGQUBWHWSA-N	135398655	C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	
cpd00283	CHEBI:58057	chebi_xref	PROTONATION_DIFF	GVVPGTZRZFNKDS-JXMROGBWSA-L	GVVPGTZRZFNKDS-JXMROGBWSA-K	19379894	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	
cpd00289	CHEBI:58756	chebi_xref	PROTONATION_DIFF	OINNEUNVOZHBOX-QIRCYJPOSA-L	OINNEUNVOZHBOX-QIRCYJPOSA-K	5497105	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	
cpd00290	C00354	kegg_xref	PROTONATION_DIFF	RNBGYGVWRKECFJ-VRPWFDPXSA-J	RNBGYGVWRKECFJ-VRPWFDPXSA-N	172313	O=P([O-])([O-])OC[C@H]1OC(O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O	
cpd00295	CHEBI:58595	chebi_xref	PROTONATION_DIFF	CIKGWCTVFSRMJU-KVQBGUIXSA-L	CIKGWCTVFSRMJU-KVQBGUIXSA-K	135398594	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1	
cpd00297	CHEBI:58369	chebi_xref	PROTONATION_DIFF	UJLXYODCHAELLY-XLPZGREQSA-L	UJLXYODCHAELLY-XLPZGREQSA-K	21124327	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O	
cpd00300	CHEBI:17775	chebi_xref	PROTONATION_DIFF	LEHOTFFKMJEONL-UHFFFAOYSA-M	LEHOTFFKMJEONL-UHFFFAOYSA-N	1175	O=c1[n-]c2nc(O)nc(O)c2[nH]1	
cpd00313	CHEBI:57694	chebi_xref	PROTONATION_DIFF	REFJWTPEDVJJIY-UHFFFAOYSA-L	REFJWTPEDVJJIY-UHFFFAOYSA-M	46906036	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12	
cpd00350	CHEBI:175763	chebi_xref	PROTONATION_DIFF	VWFJDQUYCIWHTN-YFVJMOTDSA-L	VWFJDQUYCIWHTN-YFVJMOTDSA-K	15983959	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O	
cpd00356	CHEBI:61481	chebi_xref	PROTONATION_DIFF	RGWHQCVHVJXOKC-SHYZEUOFSA-K	RGWHQCVHVJXOKC-SHYZEUOFSA-J	25244665	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)n1	
cpd00357	CHEBI:37568	chebi_xref	PROTONATION_DIFF	NHVNXKFIZYSCEB-XLPZGREQSA-K	NHVNXKFIZYSCEB-XLPZGREQSA-J	11988283	Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]c1=O	
cpd00358	CHEBI:61555	chebi_xref	PROTONATION_DIFF	AHCYMLUZIRLXAA-SHYZEUOFSA-K	AHCYMLUZIRLXAA-SHYZEUOFSA-J	25244408	O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])O2)c(=O)[nH]1	
cpd00384	C00494	kegg_xref	PROTONATION_DIFF	URWAJWIAIPFPJE-YFMIWBNJSA-S	URWAJWIAIPFPJE-YFMIWBNJSA-N	36119	C[NH2+][C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(C[NH3+])=CC[C@H]3[NH3+])[C@@H]([NH3+])C[C@H]2[NH3+])OC[C@]1(C)O	
cpd00385	CHEBI:77639	chebi_xref	PROTONATION_DIFF	YJRLSCDUYLRBIZ-UHFFFAOYSA-N	YJRLSCDUYLRBIZ-UHFFFAOYSA-M	86289303	COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1O	
cpd00414	C00528	kegg_xref	PROTONATION_DIFF	DQJCDTNMLBYVAY-ZXXIYAEKSA-O	DQJCDTNMLBYVAY-ZXXIYAEKSA-N	56928060	CC[NH2+][C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1OC(C)C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)N[C@H](CCCC[NH3+])C(=O)N[C@@H](C)C(=O)[O-])C(N)=O	
cpd00421	CHEBI:18036	chebi_xref	PROTONATION_DIFF	UNXRWKVEANCORM-UHFFFAOYSA-J	UNXRWKVEANCORM-UHFFFAOYSA-I	3440921	O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])O	
cpd00440	C00563	kegg_xref	PROTONATION_DIFF	ZPHBZEQOLSRPAK-XLCYBJAPSA-L	ZPHBZEQOLSRPAK-XLCYBJAPSA-N	445114	CC(C)C[C@H](NP(=O)([O-])O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	
cpd00471	CHEBI:58254	chebi_xref	PROTONATION_DIFF	DNAYVNOVGHZZLH-UHFFFAOYSA-K	DNAYVNOVGHZZLH-UHFFFAOYSA-L	25203115	O=c1c(OS(=O)(=O)[O-])c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12	
cpd00506	CHEBI:58173	chebi_xref	PROTONATION_DIFF	RITKHVBHSGLULN-WHFBIAKZSA-L	RITKHVBHSGLULN-WHFBIAKZSA-M	7059430	[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)[O-])C(=O)[O-]	
cpd00530	CHEBI:61314	chebi_xref	PROTONATION_DIFF	CAEFEWVYEZABLA-UUOKFMHZSA-K	CAEFEWVYEZABLA-UUOKFMHZSA-J	25245622	O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2[nH]1	
cpd00533	CHEBI:58593	chebi_xref	PROTONATION_DIFF	FTDHDKPUHBLBTL-SHYZEUOFSA-L	FTDHDKPUHBLBTL-SHYZEUOFSA-K	21122964	Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O2)c(=O)n1	
cpd00541	C00725	kegg_xref	PROTONATION_DIFF	AGBQKNBQESQNJD-UHFFFAOYSA-M	AGBQKNBQESQNJD-UHFFFAOYSA-N	864	O=C([O-])CCCCC1CCSS1	
cpd00547	C00736	kegg_xref	PROTONATION_DIFF	XUJNEKJLAYXESH-UHFFFAOYSA-M	XUJNEKJLAYXESH-UHFFFAOYSA-N	594	[NH3+]C(C[S-])C(=O)[O-]	
cpd00553	C00744	kegg_xref	PROTONATION_DIFF	UFUYRGNJTFAODM-HQCAVAADSA-O	UFUYRGNJTFAODM-HQCAVAADSA-N	5280369	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H]([NH+](C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC	
